city,lat,lng,country,population,predicted_population
Porto Alegre,-30.05,-51.2,Brazil,3917000,3916715.7572387354
Surat,21.2,72.84,India,3842000,3844815.8149345554
Hechi,23.0965,109.6091,China,3830000,3830144.461558876
Abidjan,5.32,-4.04,Côte D’Ivoire,3802000,3802302.9019581387
Brasília,-15.7833,-47.9161,Brazil,3716996,3717044.5589736276
Ankara,39.9272,32.8644,Turkey,3716000,3715974.037922245
Monterrey,25.67,-100.33,Mexico,3712000,3709594.068553134
Yokohama,35.32,139.58,Japan,3697894,3697690.73266225
Nanjing,32.05,118.78,China,3679000,3680232.0787480627
Montréal,45.5,-73.5833,Canada,3678000,3677028.0914348676
Guiyang,26.58,106.72,China,3662000,3662573.7590503288
Recife,-8.0756,-34.9156,Brazil,3651000,3652557.834462171
Seattle,47.6211,-122.3244,United States,3643765,3644351.2958415183
Harbin,45.75,126.65,China,3621000,3623201.3282210235
San Francisco,37.7562,-122.443,United States,3603761,3603482.672809346
Fortaleza,-3.75,-38.58,Brazil,3602319,3600851.0036743344
Zhangzhou,24.5204,117.67,China,3531147,3530890.0365548288
Detroit,42.3834,-83.1024,United States,3522206,3520842.3799836515
Salvador,-12.97,-38.48,Brazil,3484000,3483995.5698038707
Busan,35.0951,129.01,"Korea, South",3480000,3479228.8792177164
Johannesburg,-26.17,28.03,South Africa,3435000,3433336.2725621564
Berlin,52.5218,13.4015,Germany,3406000,3407231.507322979
Algiers,36.7631,3.0506,Algeria,3354000,3355630.3113242057
Rome,41.896,12.4833,Italy,3339000,3337888.7255516835
Pyongyang,39.0194,125.7547,"Korea, North",3300000,3297632.8826760817
Medellín,6.275,-75.575,Colombia,3297000,3299089.9535281453
Kabul,34.5167,69.1833,Afghanistan,3277000,3275674.0909380517
Athens,37.9833,23.7333,Greece,3242000,3242430.6157232383
Nagoya,35.155,136.915,Japan,3230000,3229739.3203925746
Cape Town,-33.92,18.435,South Africa,3215000,3216987.0984235564
San Diego,32.8312,-117.1226,United States,3210314,3209634.975346269
Changchun,43.865,125.34,China,3183000,3183476.733803624
Casablanca,33.6,-7.6164,Morocco,3181000,3181981.0252757114
Dalian,38.9228,121.6298,China,3167000,3168038.3816460245
Kanpur,26.46,80.32,India,3162000,3162305.71281251
Kano,12,8.52,Nigeria,3140000,3140682.1224622442
Tel Aviv-Yafo,32.08,34.77,Israel,3112000,3112093.9633968053
Addis Ababa,9.0333,38.7,Ethiopia,3100000,3099121.858501812
Curitiba,-25.42,-49.32,Brazil,3084000,3085244.402035416
Zibo,36.8,118.05,China,3061000,3061161.704148095
Jeddah,21.5169,39.2192,Saudi Arabia,3012000,3013006.4417054863
Nairobi,-1.2833,36.8167,Kenya,3010000,3007684.6739597367
Hangzhou,30.25,120.17,China,3007000,3006795.6460116957
Benoni,-26.1496,28.3299,South Africa,2986000,2985845.2590823206
Caracas,10.501,-66.917,Venezuela,2985000,2983999.8589615608
Milan,45.47,9.205,Italy,2945000,2945113.709181297
Stuttgart,48.78,9.2,Germany,2944700,2946277.391774425
Kunming,25.07,102.68,China,2931000,2932259.2621948826
Dar es Salaam,-6.8,39.2683,Tanzania,2930000,2931291.76303638
Minneapolis,44.9635,-93.2678,United States,2926757,2926440.9647300816
Jaipur,26.9211,75.81,India,2917000,2916662.9069583886
Taiyuan,37.875,112.5451,China,2913000,2913660.873938513
Frankfurt,50.1,8.675,Germany,2895000,2895202.0036438857
Qingdao,36.09,120.33,China,2866000,2866329.949405875
Surabaya,-7.2492,112.7508,Indonesia,2845000,2845558.917005619
Lisbon,38.7227,-9.1449,Portugal,2812000,2811303.1452956004
Tampa,27.9937,-82.4454,United States,2804240,2804066.7452713214
Jinan,36.675,116.995,China,2798000,2797578.569491626
Fukuoka,33.595,130.41,Japan,2792000,2792469.156382351
Campinas,-22.9,-47.1,Brazil,2791000,2792336.2615866684
Denver,39.7621,-104.8759,United States,2787266,2787290.3659805786
Kaohsiung,22.6333,120.2666,Taiwan,2769072,2769358.0615734938
Quezon City,14.6504,121.03,Philippines,2761720,2761503.998574873
Katowice,50.2604,19.02,Poland,2746000,2744862.2289306507
Aleppo,36.23,37.17,Syria,2738000,2737407.3343475102
Durban,-29.865,30.98,South Africa,2729000,2729361.094536071
Kiev,50.4334,30.5166,Ukraine,2709000,2710438.860264544
Lucknow,26.855,80.915,India,2695000,2693896.7761193966
El Giza,30.01,31.19,Egypt,2681863,2681860.8705325164
Zhengzhou,34.755,113.6651,China,2636000,2634179.093915706
Taichung,24.1521,120.6817,Taiwan,2629323,2628097.874675631
Brooklyn,40.6501,-73.9496,United States,2629150,2629353.1122866366
Ibadan,7.38,3.93,Nigeria,2628000,2626905.4167332603
Faisalabad,31.41,73.11,Pakistan,2617000,2617778.768964126
Fuzhou,26.08,119.3,China,2606000,2608076.232786125
Dakar,14.7158,-17.4731,Senegal,2604000,2605280.6751244925
Changsha,28.2,112.97,China,2604000,2604940.03573737
İzmir,38.4361,27.1518,Turkey,2587000,2587684.0418339423
Xiangtan,27.8504,112.9,China,2586948,2588007.657853054
Lanzhou,36.056,103.792,China,2561000,2560757.3475678028
Incheon,37.4761,126.6422,"Korea, South",2550000,2550799.9513008217
Sapporo,43.075,141.34,Japan,2544000,2543204.6239737496
Xiamen,24.45,118.08,China,2519000,2517560.036443923
Guayaquil,-2.22,-79.92,Ecuador,2514000,2516136.5533171683
George Town,5.4136,100.3294,Malaysia,2500000,2499976.26945089
Mashhad,36.27,59.57,Iran,2469000,2469117.9834827296
Damascus,33.5,36.3,Syria,2466000,2466708.611005475
Daegu,35.8668,128.607,"Korea, South",2460000,2460065.7221324523
Nagpur,21.17,79.09,India,2454000,2453213.5689554345
Jinxi,40.7503,120.83,China,2426000,2426226.656197199
Shijianzhuang,38.05,114.48,China,2417000,2417185.5232286886
Tunis,36.8028,10.1797,Tunisia,2412500,2414247.9565411946
Vienna,48.2,16.3666,Austria,2400000,2398613.3731343145
Jilin,43.85,126.55,China,2396000,2395081.1776356674
Omdurman,15.6167,32.48,Sudan,2395159,2393968.9850591193
Bandung,-6.95,107.57,Indonesia,2394000,2395756.0994932256
Bekasi,-6.2173,106.9723,Indonesia,2378211,2377346.3610786432
Mannheim,49.5004,8.47,Germany,2362000,2361178.9493662594
Nanchang,28.68,115.88,China,2350000,2350950.8345492
Wenzhou,28.02,120.6501,China,2350000,2348748.747391125
Queens,40.7498,-73.7976,United States,2333054,2332366.6981568397
Vancouver,49.2734,-123.1216,Canada,2313328,2312888.656347632
Birmingham,52.475,-1.92,United Kingdom,2285000,2284155.4207594725
Cali,3.4,-76.5,Colombia,2254000,2253005.550501788
Naples,40.84,14.245,Italy,2250000,2251177.2054627175
Sendai,38.2871,141.0217,Japan,2250000,2249795.7429723423
Manchester,53.5004,-2.248,United Kingdom,2230000,2230167.682567602
Puebla,19.05,-98.2,Mexico,2195000,2195034.43252839
Tripoli,32.8925,13.18,Libya,2189000,2187642.198455104
Tashkent,41.3117,69.2949,Uzbekistan,2184000,2184639.3706322913
Nanchong,30.7804,106.13,China,2174000,2173596.290102207
Havana,23.132,-82.3642,Cuba,2174000,2175132.500392084
Baltimore,39.3051,-76.6144,United States,2170504,2169810.186018869
Belém,-1.45,-48.48,Brazil,2167000,2166482.022034415
Nanning,22.82,108.32,China,2167000,2168882.4143049275
Patna,25.625,85.13,India,2158000,2158228.565992986
Santo Domingo,18.4701,-69.9001,Dominican Republic,2154000,2154198.2679973296
Ürümqi,43.805,87.575,China,2151000,2151062.9065033514
Zaozhuang,34.88,117.57,China,2145000,2145742.592523627
Baku,40.3953,49.8622,Azerbaijan,2122300,2123896.0738080624
Accra,5.55,-0.2167,Ghana,2121000,2120410.4437218364
Yantai,37.5304,121.4,China,2116000,2114770.528465687
Medan,3.58,98.65,Indonesia,2115000,2115150.6410078243
Santa Cruz,-17.7539,-63.226,Bolivia,2102998,2102679.3823569
Xuzhou,34.28,117.18,China,2091000,2091438.831496744
Riverside,33.9381,-117.3948,United States,2084749,2085483.3843905742
Linyi,35.08,118.33,China,2082000,2082109.008041816
Saint Louis,38.6358,-90.2451,United States,2078283,2078972.6029812866
Las Vegas,36.2291,-115.2607,United States,2073045,2071699.821030834
Maracaibo,10.73,-71.66,Venezuela,2072000,2073808.161496197
Kuwait,29.3697,47.9783,Kuwait,2063000,2062246.5162939213
Ad Damman,26.4282,50.0997,Saudi Arabia,2054710,2053882.4959248563
Portland,45.5372,-122.65,United States,2052796,2051227.019435151
Haikou,20.05,110.32,China,2046189,2045853.6830611045
Hiroshima,34.3878,132.4429,Japan,2045000,2044873.145464337
Baotou,40.6522,109.822,China,2036000,2035653.0738249514
Hefei,31.85,117.28,China,2035000,2035920.5077791896
Indore,22.7151,75.865,India,2026000,2027634.4755424745
Goiânia,-16.72,-49.3,Brazil,2022000,2022642.143908191
Sanaa,15.3547,44.2066,Yemen,2008000,2007927.173311633
San Antonio,29.4722,-98.5247,United States,2002530,2003960.779628485
Port-au-Prince,18.541,-72.336,Haiti,1998000,1997539.2641509378
Haiphong,20.83,106.6801,Vietnam,1969000,1969197.0955372779
Suzhou,33.6361,116.9789,China,1964000,1962544.4092129082
Nanyang,33.0004,112.53,China,1944000,1944992.1935676704
Bucharest,44.4334,26.0999,Romania,1942000,1941959.817201098
Ningbo,29.88,121.55,China,1923000,1922737.9379819476
Douala,4.0604,9.71,Cameroon,1906000,1905966.368892003
Tangshan,39.6243,118.1944,China,1879000,1878867.0411074457
Tainan,23,120.2,Taiwan,1876312,1874595.7563315334
Datong,40.08,113.3,China,1873000,1872802.7386983966
Asunción,-25.2964,-57.6415,Paraguay,1870000,1870872.136027188
Saidu,34.75,72.35,Pakistan,1860310,1860978.6350938175
Brisbane,-27.455,153.0351,Australia,1860000,1860446.6226397085
Rawalpindi,33.6,73.04,Pakistan,1858000,1859151.7596856798
Sacramento,38.5667,-121.4683,United States,1854698,1855722.1551849684
Beirut,33.872,35.5097,Lebanon,1846000,1846872.6718082635
San Jose,37.3018,-121.8485,United States,1821899,1822027.2108360708
Minsk,53.9,27.5666,Belarus,1805000,1805971.9379695111
Kyoto,35.03,135.75,Japan,1805000,1805316.6946911358
Barranquilla,10.96,-74.8,Colombia,1798000,1796741.2454958474
Orlando,28.4788,-81.342,United States,1776841,1776894.0257328365
Valencia,10.23,-67.98,Venezuela,1770000,1770812.3418587772
Shuyang,34.1299,118.7734,China,1770000,1769455.50998106
Hamburg,53.55,10,Germany,1757000,1754426.4226780124
Vadodara,22.31,73.18,India,1756000,1756626.6161338466
Manaus,-3.1,-60,Brazil,1753000,1754101.0840529038
Shangqiu,34.4504,115.65,China,1753000,1752430.6406124602
Wuxi,31.58,120.3,China,1749000,1750641.5199173482
Palembang,-2.98,104.75,Indonesia,1749000,1750156.8525255537
Brussels,50.8333,4.3333,Belgium,1743000,1742396.5359687214
Essen,51.45,7.0166,Germany,1742135,1739452.4115651317
Cleveland,41.4767,-81.6805,United States,1730363,1730961.7573673318
Bhopal,23.25,77.41,India,1727000,1726741.1758627216
Hohhot,40.82,111.66,China,1726000,1725268.8743057395
Pittsburgh,40.4396,-79.9763,United States,1715297,1716085.5014866448
Luoyang,34.68,112.4701,China,1715000,1714395.4203559407
Santos,-23.9537,-46.3329,Brazil,1709000,1709730.7820652379
Jianmen,30.6501,113.16,China,1708000,1708449.8334289356
Warsaw,52.25,21,Poland,1707000,1707560.6714567726
Rabat,34.0253,-6.8361,Morocco,1705000,1704434.400428125
Vitória,-20.324,-40.366,Brazil,1704000,1703873.8706175485
Quito,-0.215,-78.5001,Ecuador,1701000,1699308.5807420658
Antananarivo,-18.9166,47.5166,Madagascar,1697000,1693928.7932196644
Coimbatore,11,76.95,India,1696000,1697832.237303492
Daqing,46.58,125,China,1693000,1691975.0527333508
Luan,31.7503,116.48,China,1690000,1689506.6852643755
Wanzhou,30.82,108.4,China,1680000,1678367.0685913693
Budapest,47.5,19.0833,Hungary,1679000,1677450.1233220296
Turin,45.0704,7.67,Italy,1652000,1651928.6994297085
Suzhou,31.3005,120.62,China,1650000,1647291.9959650931
Ludhiana,30.9278,75.8723,India,1649000,1650498.3934671618
Cincinnati,39.1412,-84.5059,United States,1648254,1649144.0957719074
Kumasi,6.69,-1.63,Ghana,1646000,1645076.6508933974
Manhattan,40.7834,-73.9662,United States,1643734,1643406.08189526
Qiqihar,47.345,123.99,China,1641000,1640920.320927025
Anshan,41.115,122.94,China,1639000,1638820.7701027407
Austin,30.3006,-97.7517,United States,1638716,1637200.6699626462
Zhongli,24.965,121.2168,Taiwan,1632616,1632312.9627184425
Handan,36.58,114.48,China,1631000,1631598.8360384346
Taian,36.2,117.1201,China,1629000,1627171.3701035061
Isfahan,32.7,51.7,Iran,1628000,1629845.7612790829
Kansas City,39.1239,-94.5541,United States,1615621,1614176.0276405462
Yaounde,3.8667,11.5167,Cameroon,1611000,1611971.411805955
Shantou,23.37,116.67,China,1601000,1601950.6007571653
Agra,27.1704,78.015,India,1592000,1590361.2953441758
La Paz,-16.498,-68.15,Bolivia,1590000,1591077.2003607403
Zhanjiang,21.2,110.38,China,1590000,1588868.622546454
Kalyan,19.2502,73.1602,India,1576614,1577658.9358493474
Abuja,9.0833,7.5333,Nigeria,1576000,1575236.3485766544
Harare,-17.8178,31.0447,Zimbabwe,1572000,1571784.7386776805
Indianapolis,39.7771,-86.1458,United States,1564699,1565080.0337990727
Xiantao,30.3704,113.44,China,1556000,1555799.6467736529
Tijuana,32.5,-117.08,Mexico,1553000,1552633.7027233753
Khulna,22.84,89.56,Bangladesh,1553000,1552955.7248775098
Weifang,36.7204,119.1001,China,1553000,1552547.180586716
Santiago,19.5,-70.67,Dominican Republic,1550753,1552002.4672047077
Xinyang,32.1304,114.07,China,1541000,1539441.839986314
Luzhou,28.88,105.38,China,1537000,1536233.5633601479
Perth,-31.955,115.84,Australia,1532000,1533189.483389951
Toluca,19.3304,-99.67,Mexico,1531000,1530261.9105071588
Leeds,53.83,-1.58,United Kingdom,1529000,1528184.2747079046
Vishakhapatnam,17.73,83.305,India,1529000,1528104.8839730262
Kōbe,34.68,135.17,Japan,1528478,1529513.055186677
Columbus,39.986,-82.9852,United States,1528314,1529907.525019239
Multan,30.2,71.455,Pakistan,1522000,1522278.0037783263
Kochi,10.015,76.2239,India,1519000,1519578.3005392342
Gujranwala,32.1604,74.185,Pakistan,1513000,1511134.7687482184
Montevideo,-34.858,-56.1711,Uruguay,1513000,1514191.0916171703
Niterói,-22.9,-43.1,Brazil,1500513,1500910.4361606045
Ganzhou,25.92,114.95,China,1500000,1499313.0937941151
Florence,43.78,11.25,Italy,1500000,1499576.9275250002
Liuzhou,24.28,109.25,China,1497000,1497754.9225627356
Bamako,12.65,-8,Mali,1494000,1494226.275658002
Conakry,9.5315,-13.6802,Guinea,1494000,1494111.6911196932
Bursa,40.2,29.07,Turkey,1492000,1491925.0495476746
León,21.15,-101.7,Mexico,1488000,1488602.9711167063
Virginia Beach,36.7335,-76.0435,United States,1480383,1482323.889461939
Nasik,20.0004,73.78,India,1473000,1471221.8824687414
Fushun,41.8654,123.87,China,1470000,1470582.461678768
Changde,29.03,111.68,China,1469000,1469366.46147617
Daejeon,36.3355,127.425,"Korea, South",1468000,1468106.2497902978
Charlotte,35.2079,-80.8303,United States,1467362,1464960.402837886
Neijiang,29.5804,105.05,China,1466000,1465936.456220619
Phnom Penh,11.55,104.9166,Cambodia,1466000,1465400.3482102659
Quanzhou,24.9,118.58,China,1463000,1462481.7666225412
Kharkiv,50,36.25,Ukraine,1461000,1459587.9035820283
Hyderabad,25.38,68.375,Pakistan,1459000,1459300.712000011
Bronx,40.8501,-73.8662,United States,1455720,1457599.3083316472
Lomé,6.1319,1.2228,Togo,1452000,1452975.1466385273
Córdoba,-31.4,-64.1823,Argentina,1452000,1450823.064148433
Huainan,32.63,116.98,China,1451000,1452912.3501303706
Doha,25.2866,51.533,Qatar,1450000,1451425.5695497377
Kuala Lumpur,3.1667,101.7,Malaysia,1448000,1447105.8820407642
Maputo,-25.9553,32.5892,Mozambique,1446000,1445623.5481366357
Kaduna,10.52,7.44,Nigeria,1442000,1440639.7300879448
Gwangju,35.171,126.9104,"Korea, South",1440000,1440666.0963722658
Kawasaki,35.53,139.705,Japan,1437266,1437753.8432900598
San Salvador,13.71,-89.203,El Salvador,1433000,1432921.469997747
Suining,30.5333,105.5333,China,1425000,1423341.0819917384
Lyon,45.77,4.83,France,1423000,1422248.7705543693
Karaj,35.8004,50.97,Iran,1423000,1423798.6135497727
Kampala,0.3167,32.5833,Uganda,1420000,1418753.6463636926
Tabriz,38.0863,46.3012,Iran,1413000,1413328.5751971204
The Hague,52.08,4.27,Netherlands,1406000,1406665.5073364775
Davao,7.11,125.63,Philippines,1402000,1401318.2792187214
Marseille,43.29,5.375,France,1400000,1400888.370826669
Meerut,29.0004,77.7,India,1398000,1395491.7468823947
Mianyang,31.47,104.77,China,1396000,1394950.9371802968
Semarang,-6.9666,110.42,Indonesia,1396000,1396035.6250118378
Faridabad,28.4333,77.3167,India,1394000,1394370.6494854202
Novosibirsk,55.03,82.96,Russia,1389000,1390701.7338179708
Makkah,21.43,39.82,Saudi Arabia,1385000,1385671.580707967
Dubai,25.23,55.28,United Arab Emirates,1379000,1378333.510287626
Milwaukee,43.064,-87.9669,United States,1377808,1377818.2871919977
Auckland,-36.8481,174.763,New Zealand,1377200,1377422.3042729958
Maanshan,31.7304,118.48,China,1366302,1365507.0912371795
Brazzaville,-4.2592,15.2847,Congo (Brazzaville),1355000,1356742.0554497198
Lubumbashi,-11.68,27.48,Congo (Kinshasa),1352000,1352988.9524996015
Yiyang,28.6004,112.33,China,1352000,1352934.448657862
Varanasi,25.33,83,India,1352000,1351589.2485759316
Ciudad Juárez,31.6904,-106.49,Mexico,1343000,1341988.3408637154
Ghaziabad,28.6604,77.4084,India,1341000,1341832.0987706054
Pretoria,-25.7069,28.2294,South Africa,1338000,1339045.6075805372
Heze,35.23,115.45,China,1338000,1339351.9398487813
Porto,41.15,-8.62,Portugal,1337000,1337837.5841329366
Lusaka,-15.4166,28.2833,Zambia,1328000,1327309.837240386
Asansol,23.6833,86.9833,India,1328000,1328828.4518872355
Changzhou,31.78,119.97,China,1327000,1328347.865562985
Mosul,36.345,43.145,Iraq,1316000,1316863.3282659382
Yekaterinburg,56.85,60.6,Russia,1313000,1312652.159069308
Peshawar,34.005,71.535,Pakistan,1303000,1303249.4240043862
Mandalay,21.97,96.085,Burma,1300000,1299815.3592945258
Jamshedpur,22.7875,86.1975,India,1300000,1299423.4718525882
Mbuji-Mayi,-6.15,23.6,Congo (Kinshasa),1295000,1296066.6782511505
Madurai,9.92,78.12,India,1294000,1294399.7132536662
Adana,36.995,35.32,Turkey,1293000,1292179.903346568
Sheffield,53.3667,-1.5,United Kingdom,1292900,1295387.2788546323
Jabalpur,23.1751,79.9551,India,1285000,1285561.7035477557
San José,9.935,-84.0841,Costa Rica,1284000,1283987.691861834
Panama City,8.968,-79.533,Panama,1281000,1282172.2153278796
Nizhny Novgorod,56.333,44.0001,Russia,1278000,1277416.6875699325
Chifeng,42.27,118.95,China,1277000,1277245.9861679354
Duisburg,51.43,6.75,Germany,1276757,1277949.6971132231
Munich,48.1299,11.575,Germany,1275000,1276532.251486258
Stockholm,59.3508,18.0973,Sweden,1264000,1264391.8299516165
Huaiyin,33.58,119.03,China,1264000,1264448.7109790614
Ujungpandang,-5.14,119.432,Indonesia,1262000,1261414.3912043131
Rajkot,22.31,70.8,India,1260000,1258542.3433141417
Dhanbad,23.8004,86.42,India,1246000,1246138.1575131742
Mudangiang,44.575,129.59,China,1244000,1244566.694969884
Geneva,46.21,6.14,Switzerland,1240000,1239191.7828198008
Shiraz,29.63,52.57,Iran,1240000,1240321.4779655247
Huzhou,30.8704,120.1,China,1231000,1230102.5112261246
Tianshui,34.6,105.92,China,1225000,1224673.109727639
Lupanshui,26.5944,104.8333,China,1221000,1219293.1622777053
Düsseldorf,51.2204,6.78,Germany,1220000,1218175.907329648
Maoming,21.9204,110.87,China,1217715,1220871.942467294
Seville,37.405,-5.98,Spain,1212045,1210785.09761684
Amritsar,31.64,74.87,India,1212000,1212599.649757084
Vila Velha,-20.3676,-40.318,Brazil,1209091,1209934.5411755282
Vila Velha,3.2167,-51.2167,Brazil,1209091,1208663.4674364857
Almaty,43.325,76.915,Kazakhstan,1209000,1208599.6284631193
Providence,41.8229,-71.4186,United States,1206642,1206658.7798019145
Warangal,18.01,79.58,India,1203853,1203449.2171327495
Rosario,-32.9511,-60.6663,Argentina,1203000,1204209.7075547697
Allahabad,25.455,81.84,India,1201000,1200739.4647615463
Benin City,6.3405,5.62,Nigeria,1190000,1190110.6585797772
Maceió,-9.62,-35.73,Brazil,1186000,1185783.9951242497
Jining,35.4004,116.55,China,1186000,1186910.9182877233
Sofia,42.6833,23.3167,Bulgaria,1185000,1186277.40094884
Abbottabad,34.1495,73.1995,Pakistan,1183647,1183022.8702127729
Banghazi,32.1167,20.0667,Libya,1180000,1179428.3352126882
Cilacap,-7.7188,109.0154,Indonesia,1174964,1174544.0226319788
Prague,50.0833,14.466,Czechia,1162000,1162765.99956786
Glasgow,55.8744,-4.2507,United Kingdom,1160000,1158726.6990365218
Leshan,29.5671,103.7333,China,1157000,1156520.5453879845
Jacksonville,30.3322,-81.6749,United States,1156291,1155793.732253581
Ouagadougou,12.3703,-1.5247,Burkina Faso,1149000,1149351.1750770153
Adelaide,-34.935,138.6,Australia,1145000,1145328.956846093
Ottawa,45.4167,-75.7,Canada,1145000,1143860.8907328655
Shangrao,28.4704,117.97,China,1144577,1143175.833489703
Torreón,25.5701,-103.42,Mexico,1144000,1145845.6831209732
Srinagar,34.1,74.815,India,1140000,1139643.5087407287
Samara,53.195,50.1513,Russia,1137000,1136165.1968729577
Vijayawada,16.52,80.63,India,1137000,1135253.964985799
Omsk,54.99,73.4,Russia,1135000,1133554.988936942
Newcastle,-32.8453,151.815,Australia,1134616,1134634.042295094
Yulin,22.63,110.15,China,1127000,1125624.9397426294
Nampo,38.7669,125.4524,"Korea, North",1127000,1126949.7298382402
Xianyang,34.3456,108.7147,China,1126000,1126458.6651220145
Cagayan de Oro,8.4508,124.6853,Philippines,1121561,1120468.5972975097
Can Tho,10.05,105.77,Vietnam,1121000,1120624.2459517336
Barquisimeto,10.05,-69.3,Venezuela,1116000,1115953.7610320402
Kazan,55.7499,49.1263,Russia,1115000,1114265.0478999065
Helsinki,60.1756,24.9341,Finland,1115000,1115158.5493496202
Aurangabad,19.8957,75.3203,India,1113000,1112669.541669288
Calgary,51.083,-114.08,Canada,1110000,1108622.0215749387
Nezahualcoyotl,19.41,-99.03,Mexico,1109363,1110371.7966340086
Zürich,47.38,8.55,Switzerland,1108000,1107914.796911225
Baoding,38.8704,115.48,China,1107000,1106757.6970729358
Zigong,29.4,104.78,China,1105000,1105362.1917062795
Sharjah,25.3714,55.4065,United Arab Emirates,1103027,1102890.7657612094
Yerevan,40.1812,44.5136,Armenia,1102000,1101047.6145683688
Mogadishu,2.0667,45.3667,Somalia,1100000,1099084.2402608118
